TIME;ANGLE VELOCITY
2250.000000;1308.833374
2260.000000;1308.833374
2270.000000;1177.949951
2280.000000;1177.949951
2290.000000;1308.833374
2300.000000;1308.833374
2310.000000;1047.066650
2320.000000;1308.833374
2330.000000;1177.949951
2340.000000;1308.833374
2350.000000;1308.833374
2360.000000;1177.949951
2370.000000;1177.949951
2380.000000;1308.833374
2390.000000;1177.949951
2400.000000;1308.833374
2410.000000;1047.066650
2420.000000;1308.833374
2430.000000;1308.833374
2440.000000;1177.949951
2450.000000;1308.833374
2460.000000;1308.833374
2470.000000;1047.066650
2480.000000;1308.833374
2490.000000;1308.833374
2500.000000;1177.949951
2510.000000;1308.833374
2520.000000;1047.066650
2530.000000;1308.833374
2540.000000;1308.833374
2550.000000;1177.949951
2560.000000;1177.949951
2570.000000;1439.716675
2580.000000;1177.949951
2590.000000;1308.833374
2600.000000;1177.949951
2610.000000;1177.949951
2620.000000;1308.833374
2630.000000;1177.949951
2640.000000;1177.949951
2650.000000;1308.833374
2660.000000;1308.833374
2670.000000;1177.949951
2680.000000;1177.949951
2690.000000;1308.833374
2700.000000;1177.949951
2710.000000;1177.949951
2720.000000;1308.833374
2730.000000;1308.833374
2740.000000;1177.949951
2750.000000;1308.833374
2760.000000;1177.949951
2770.000000;1177.949951
2780.000000;1308.833374
2790.000000;1308.833374
2800.000000;1308.833374
2810.000000;1177.949951
2820.000000;1177.949951
2830.000000;1308.833374
2840.000000;1177.949951
2850.000000;1308.833374
2860.000000;1177.949951
2870.000000;1308.833374
2880.000000;1047.066650
2890.000000;1308.833374
2900.000000;1177.949951
2910.000000;1308.833374
2920.000000;1308.833374
2930.000000;1177.949951
2940.000000;1177.949951
2950.000000;1308.833374
2960.000000;1308.833374
2970.000000;1308.833374
2980.000000;1308.833374
2990.000000;1177.949951
